doc_id,vendor,category,title,url,type,access,verified,local_file,notes
AI-NETGUIDE,Dell,ai-fabric,Dell Enterprise SONiC AI Fabrics Networking Guide (H04600),https://infohub.delltechnologies.com/en-us/l/dell-enterprise-sonic-ai-fabrics-networking-guide-3/,html,browser-check,yes,corpus/raw/AI-NETGUIDE.pdf,RoCEv2 lossless (PFC+ECN+DCQCN+ARS/DLB); rail-optimized
AI-OVERVIEW,Dell,ai-fabric,Dell Technologies AI Fabrics Overview (H20082),https://infohub.delltechnologies.com/en-us/t/ai-fabrics-overview/,pdf,direct,yes,corpus/raw/H20082-dell-technologies-ai-fabrics-overview.pdf,"Topologies; two-tier ~2000 GPUs; buffer/incast. VERIFIED 2026-07-17: XE9680=8GPU confirmed; each GPU→1×400GbE NIC confirmed verbatim; Z9864F single-switch supports 8-128 GPU cluster (128 via 800G→2×400G breakout) confirmed; Z9664F supports 8-64. 3-hop Rail Optimized Z9864F-ON: 65536 GPUs (8192 nodes). RA does NOT address inter-switch link speed or 1.6T→2×800G part — those OPEN TASKs stand."
AI-ETHIB,Dell,ai-fabric,Dell Ethernet and InfiniBand AI Fabrics (H20084),https://infohub.delltechnologies.com/en-us/t/ethernet-and-infiniband-ai-fabrics/,html,browser-check,pattern,corpus/raw/AI-ETHIB.pdf,Ethernet(Spectrum-X)+SONiC as IB alternative
AI-SPECTRUM,Dell,ai-fabric,AI Fabrics with NVIDIA Spectrum + Enterprise SONiC (H04658),https://infohub.delltechnologies.com/en-us/t/ai-fabrics-with-nvidia-spectrum-and-enterprise-sonic/,html,browser-check,pattern,corpus/raw/AI-SPECTRUM.pdf,Spectrum-X + SONiC RoCE config
AI-OPENSHIFT,Dell,ai-fabric,Dell AI Infrastructure w/ NVIDIA GPUs on OpenShift + Spectrum (H04724),https://infohub.delltechnologies.com/en-us/t/dell-ai-infrastructure-with-nvidia-gpus-openshift-spectrum/,html,browser-check,pattern,corpus/raw/AI-OPENSHIFT.pdf,Reinforces Spectrum-X AI fabric
AI-SPECTRUMX-RA,Dell+NVIDIA,ai-fabric,GenAI in the Enterprise with NVIDIA Spectrum-X Networking Platform (Validated Design),https://infohub.delltechnologies.com/en-us/l/generative-ai-in-the-enterprise-with-nvidia-spectrum-x-networking-platform-1/,html,browser-check,yes,—,Non-blocking rail-optimized spine-leaf; scale-out (backend) fabric
AI-SFM,Dell,ai-fabric,Dell SmartFabric Manager (SFM) for SONiC — AI Blueprints Guide,https://infohub.delltechnologies.com/en-us/l/dell-smartfabric-manager-sfm-for-sonic-ai-blueprints-guide/,html,browser-check,yes,—,Validated AI fabric blueprints (automation)
AI-ERA,Dell+NVIDIA,ai-fabric,NVIDIA ERA config endorsed for Dell AI Factory (brief),https://www.delltechnologies.com/asset/en-us/solutions/infrastructure-solutions/briefs-summaries/nvidia-2-8-9-400-configuration-era-endorsed-for-the-dell-ai-factory-with-nvidia-brief.pdf,pdf,direct,yes,corpus/raw/AI-ERA.pdf,Blackwell 2-8-9-400 ERA (current). Local file is the older 2-8-5-200 brief
AI-NV-FACTORY,NVIDIA,ai-fabric,NVIDIA Enterprise AI Factory Design Guide (white paper),https://docs.nvidia.com/ai-enterprise/planning-resource/ai-factory-white-paper/latest/ecosystem-architecture.html,html,direct,yes,—,NVIDIA-side ecosystem/reference architecture
NV-SN5600,NVIDIA,switch-spec,NVIDIA Spectrum SN5600 / Spectrum-4 switch,https://www.nvidia.com/en-us/networking/products/ethernet-switching/,html,manual,verify,—,800G Spectrum-X AI leaf/spine (SN5610 via Dell). sn5000 slug 404s — confirm product URL
NV-SN4700,NVIDIA,switch-spec,NVIDIA Spectrum SN4700 / Spectrum-3 switch,https://www.nvidia.com/en-us/networking/ethernet-switching/spectrum-sn4000/,html,direct,pattern,—,400G Spectrum-3 AI leaf/spine
ST-POWERSTORE,Dell,storage,PowerStore Spec Sheet (H18234),https://www.delltechnologies.com/asset/en-us/products/storage/technical-support/corpus/raw/ST-POWERSTORE.pdf,pdf,direct,pattern,corpus/raw/ST-POWERSTORE.pdf,25/100G I/O modules; NVMe/TCP; MTU 9216
ST-POWERSCALE,Dell,storage,PowerScale All-Flash Nodes Spec Sheet (H15963),https://www.delltechnologies.com/asset/en-us/products/storage/technical-support/corpus/raw/ST-POWERSCALE.pdf,pdf,direct,pattern,corpus/raw/ST-POWERSCALE.pdf,Dual-port FE+BE NIC options (25/100/200/400G)
ST-PS-BACKEND,Dell,storage,PowerScale Ethernet Back-End Network Overview (H16346),https://infohub.delltechnologies.com/en-us/t/dell-powerscale-ethernet-back-end-network-overview/,html,browser-check,pattern,corpus/raw/ST-PS-BACKEND.pdf,Table 4 supported BE switches (Z9664/S5232/Z9264)
ST-PS-COMPAT,Dell,compatibility,PowerScale OneFS Supportability & Compatibility Guide,https://www.dell.com/support/manuals/en-us/isilon-onefs/ifs_pub_software_hardware_compatibility_guide/,html,manual,yes,corpus/raw/ST-PS-COMPAT.pdf,AUTHORITATIVE back-end switch + NIC/transceiver support list & EOL
ST-PFLEX-DG,Dell,storage,Enterprise SONiC + PowerFlex Design Guide (H19678),https://infohub.delltechnologies.com/en-us/t/enterprise-sonic-distribution-by-dell-technologies-for-powerflex/,html,browser-check,pattern,corpus/raw/ST-PFLEX-DG.pdf,Leaf oversub <=2:1; MTU 9216; LACP; 352 nodes/22 per leaf pair
ST-PSTORE-SONIC,Dell,storage,SONiC SmartFabric Manager for PowerStore Deployment Guide,https://infohub.delltechnologies.com/en-us/t/sonic-smartfabric-manager-for-powerstore-deployment-guide/,html,browser-check,yes,corpus/raw/ST-PSTORE-SONIC.pdf,PowerStore attach on SONiC — leaf-spine + BGP EVPN VXLAN; switch config recipes (SERVER+STORAGE ATTACH)
ST-PFLEX-SONIC-DG,Dell,storage,Dell Enterprise SONiC for PowerFlex Deployment Guide,https://infohub.delltechnologies.com/en-us/t/dell-technologies-enterprise-sonic-for-powerflex-deployment-guide/,html,browser-check,yes,—,PowerFlex leaf/spine switch config (verify) — spine/leaf verification recipes
NET-NVO-EVPN,Dell,sonic,Dell Networking Virtualization Overlay with BGP EVPN,https://dl.dell.com/manuals/common/nvo_with_bgp_evpn.pdf,pdf,direct,yes,—,BGP EVPN-VXLAN underlay/overlay design (anycast gw; private ASN; MTU >=1600 underlay)
SONIC-COMPAT,Dell,compatibility,Enterprise SONiC Distribution Compatibility Matrix (features & supported platforms),https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/enterprise-sonic-features-and-supported-platforms-matrix.pdf,pdf,direct,yes,—,AUTHORITATIVE: which PowerSwitch models run Enterprise SONiC + which features (MC-LAG) per platform/release
ST-PFLEX-SFM,Dell,storage,SmartFabric Manager for SONiC for PowerFlex (H04460),https://infohub.delltechnologies.com/en-us/t/smartfabric-manager-for-sonic-for-powerflex/,html,browser-check,pattern,corpus/raw/ST-PFLEX-SFM.pdf,Automated PowerFlex fabric
ST-PFLEX-SPEC,Dell,storage,PowerFlex 5.0 Specification Sheet,https://www.delltechnologies.com/asset/en-us/products/storage/technical-support/corpus/raw/ST-PFLEX-SPEC.pdf,pdf,direct,pattern,corpus/raw/ST-PFLEX-SPEC.pdf,Certified NIC configs (2x25G rec / 4x25G / 2x100G / 4x100G)
ST-PFLEX-46,Dell,storage,PowerFlex software 4.6 upgrade guide,https://www.dell.com/support/home/en-us/product-support/product/powerflex/docs,html,manual,pattern,corpus/raw/ST-PFLEX-46.pdf,Software upgrade guide (no net-new networking rule)
ST-POWERMAX,Dell,storage,PowerMax 2500/8500 Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/storage/technical-support/corpus/raw/ST-POWERMAX.pdf,pdf,direct,pattern,corpus/raw/ST-POWERMAX.pdf,FE I/O module Ethernet (2x100G/4x25G/4x10G)
ST-OBJECTSCALE,Dell,storage,Dell ObjectScale Best Practices (H16016),https://infohub.delltechnologies.com/en-us/t/dell-objectscale-best-practices/,html,browser-check,pattern,corpus/raw/ST-OBJECTSCALE.pdf,FE(public)+BE(private) LACP; S5248F both pairs; 25/100G
CO-POWEREDGE,Dell,compute,PowerEdge Rack Series Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/corpus/raw/CO-POWEREDGE.pdf,pdf,direct,pattern,corpus/raw/CO-POWEREDGE.pdf,OCP 3.0 NIC 10/25/100/400G + BlueField-3
CO-MX-NET,Dell,compute,PowerEdge MX Networking Deployment Guide (H18548),https://infohub.delltechnologies.com/en-us/t/dell-poweredge-mx-networking-deployment-guide-1/,html,browser-check,yes,corpus/raw/CO-MX-NET.pdf,MX7000 Scalable Fabric (MX9116n FSE/MX7116n FEM/MX5108n) — not yet modeled
HCI-APEX,Dell,hci,Dell APEX Cloud Platform / Azure Local Scalable Deployment Guide,https://www.dell.com/support/home/en-us/product-support/product/apex-cloud-platform-microsoft-azure/docs,html,manual,pattern,corpus/raw/HCI-APEX.pdf,RDMA storage (RoCE/iWARP); SET teaming; switchless option
HCI-AZLOCAL,Microsoft,hci,Physical network requirements for Azure Local,https://learn.microsoft.com/en-us/azure/azure-local/concepts/physical-network-requirements,html,direct,yes,—,AUTHORITATIVE Azure Local ToR supported-switch list + BGP/LLDP/MTU
MG-VERITY-SS,BE Networks,management,Verity for Cloud Spec Sheet,https://www.beyondedge.com/,html,direct,pattern,corpus/raw/MG-VERITY-SS.pdf,Intent-based networking for Dell Enterprise SONiC
MG-VERITY-DOC,BE Networks,management,Verity Documentation,https://www.beyondedge.com/,html,manual,pattern,corpus/raw/MG-VERITY-DOC.pdf,Full product docs (single pane of glass / ZTP)
AI-FAQ,Dell,ai-fabric,Dell Technologies AI Solution General FAQ,https://www.delltechnologies.com/asset/en-us/solutions/infrastructure-solutions/briefs-summaries/,html,manual,pattern,corpus/raw/AI-FAQ.pdf,General AI solution FAQ
STD-PFC,IEEE,standard,IEEE 802.1Qbb Priority-based Flow Control (PFC),https://1.ieee802.org/dcb/802-1qbb/,html,direct,pattern,—,Lossless RoCEv2 underpinning (PFC)
STD-ETS,IEEE,standard,IEEE 802.1Qaz ETS / DCBX,https://1.ieee802.org/dcb/802-1qaz/,html,direct,pattern,—,Bandwidth mgmt + DCB exchange
STD-EVPN,IETF,standard,RFC 7432 BGP MPLS-Based Ethernet VPN (EVPN),https://www.rfc-editor.org/rfc/rfc7432,html,direct,yes,—,BGP EVPN control plane
STD-EVPNVXLAN,IETF,standard,RFC 8365 Network Virtualization Overlay (EVPN-VXLAN),https://www.rfc-editor.org/rfc/rfc8365,html,direct,yes,—,EVPN over VXLAN
STD-ROCE,IBTA,standard,RoCEv2 (InfiniBand Trade Association Annex A17),https://www.infinibandta.org/ibta-specifications-download/,html,manual,pattern,—,RDMA over Converged Ethernet v2 spec
NV-LINKX,NVIDIA,optics,NVIDIA LinkX Cables & Transceivers (interconnect portfolio),https://www.nvidia.com/en-us/networking/interconnect/,html,direct,yes,—,LinkX 10-800GbE DAC/ACC/AOC/optics for Spectrum-X. USE for NVIDIA stacks (not Dell optics)
NV-LINKX-GUIDE,NVIDIA,optics,NVIDIA LinkX Guide to Key Cabling (docs),https://docs.nvidia.com/networking/display/CABLEOVpub,html,direct,yes,—,DAC <=3m; ACC 3-5m; MM <=50m; SM 100m/500m/2km. Twin-port OSFP = 2x400G
NV-OPT-800G-SR8,NVIDIA,optics,LinkX MMA4Z00-NS 800G Twin-port OSFP 2x400G SR8 50m,https://docs.nvidia.com/mma4z00-ns-800gb-s-twin-port-osfp-2x400gb-s-multimode-sr8-50m-12-07-2023.pdf,pdf,direct,yes,—,800G OSFP multimode SR8 (2x MPO-12) to 50m
NV-OPT-800G-DR8,NVIDIA,optics,LinkX MMS4X00-NM 800G Twin-port OSFP 2x400G DR8 500m,https://docs.nvidia.com/nvidia-mms4x00-nm-800gbps-twin-port-osfp-2x400gb-s-single-mode-dr8-500m-12-07-2023.pdf,pdf,direct,yes,—,800G OSFP single-mode DR8 to 500m
NV-CX8-DS,NVIDIA,nic,NVIDIA ConnectX-8 SuperNIC datasheet,https://resources.nvidia.com/en-us-accelerated-networking-resource-library/connectx-datasheet-c,html,direct,yes,—,800G IB/Ethernet SuperNIC; Socket Direct (800G Gen5 / 400G Gen4); OSFP/QSFP112; port splitting
NV-CX8-UM,NVIDIA,nic,NVIDIA ConnectX-8 SuperNIC User Manual,https://docs.nvidia.com/networking/display/nvidia-connectx-8-supernic-user-manual.pdf,pdf,direct,yes,—,ConnectX-8 specs — per-GPU 800G rail in GB300 NVL72
NV-NVL72-RA,NVIDIA,ai-fabric,NVIDIA NVL72 AI Factory — GB300 dual-plane networking RA,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory-with-gb300-nvl72-dual-plane-networking-architecture.pdf,pdf,direct,yes,—,GB300 NVL72 = 72 Blackwell-Ultra NVLink domain; ConnectX-8 800G/GPU; Spectrum-X or Quantum-X800; SU 4=288 / 8=576 GPUs
NV-GB200-RA,NVIDIA,ai-fabric,NVIDIA DGX SuperPOD GB200 scalable-infrastructure RA,https://docs.nvidia.com/dgx-superpod/reference-architecture-scalable-infrastructure-gb200/latest/_downloads/238ab33ee345a7241fc2f15eedc2ff6c/RA11338001-DSPGB200-ReferenceArch.pdf,pdf,direct,yes,—,GB200 NVL72 SuperPOD reference architecture
NV-GB300,NVIDIA,compute,NVIDIA GB300 NVL72 product page,https://www.nvidia.com/en-us/data-center/gb300-nvl72/,html,direct,yes,—,72x Blackwell Ultra + 36 Grace; rack-scale NVLink domain
CO-XE-AI,Dell,compute,PowerEdge XE AI Servers Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-xe-ai-spec-sheet.pdf,pdf,direct,yes,—,XE9680/XE9685/XE9780/XE9785/XE7745 AI server family
CO-XE9780,Dell,compute,PowerEdge XE9780 Technical Guide (Blackwell),https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-xe9780-technical-guide.pdf,pdf,direct,yes,—,10U 2-socket Xeon6; 8x HGX B200 180GB SXM6 NVLink
CO-XE9785,Dell,compute,PowerEdge XE9785 Technical Guide (Blackwell/AMD),https://www.delltechnologies.com/asset/en-us/products/servers/technical-support/poweredge-xe9785-technical-guide.pdf,pdf,direct,yes,—,AMD EPYC 9005; 8x HGX B200 SXM6 NVLink
DOC-SONIC-SS,Dell,sonic,Enterprise SONiC Distribution Spec Sheet,https://www.delltechnologies.com/asset/en-us/products/networking/technical-support/,pdf,manual,pattern,corpus/raw/DOC-SONIC-SS.pdf,Identified: SONiC Distribution spec sheet (AI-optimized multi-silicon positioning)
TOOL-FDC,Dell,tool,Dell Fabric Design Center (validated designs + wiring + ordering BOM),https://fdc.dell.com,html,login,yes,—,DELL'S OWN Dell-Boi: 4-step wizard -> validated topology + wiring diagram + ORDERING BOM + JSON export. Partner/customer login (user has creds). USE AS GROUND-TRUTH ORACLE
TOOL-NVAIR,NVIDIA,tool,NVIDIA Air (free data-center digital twin),https://air.nvidia.com,html,login,yes,—,Free digital twin: simulate Cumulus/SONiC on Spectrum topologies to 1000s of switches; validate NVIDIA-side designs/configs before hardware
TOOL-EIPT,Dell,tool,Dell Enterprise Infrastructure Planning Tool (power/cooling calculator),https://www.dell.com/calc,html,direct,yes,—,Measured power models for PowerEdge/Storage/NETWORKING — authoritative watts/BTU for power-aware rack planning (legacy site EOL Apr 2026; use new site)
FDC-EXPORTS,Dell,tool,FDC design exports (5 local JSONs: ToR / mid-size / PowerScale FE+BE / NVMeTCP),—,json,local,yes,FDC-*.json,GROUND TRUTH from Dell Fabric Design Center: right-size ladder S5212F->S5296F; S5232F spines; VLT 2x100G / 4x25G — wired into audit-groundtruth (FDC-F1..F5)
DELL-APD,Dell,skus,Dell.com product pages (apd) — orderable cable/optic SKUs,https://www.dell.com/en-us/shop/,html,direct,yes,corpus/dellcom-apd-verified.json,"35 SKUs title-verified per length 2026-07-10; robots-allowed /apd/ pages; kit type (CusKit vs factory) confirmed at quote time"
NV-LINKX-COMBO,NVIDIA,optics,LinkX 400GbE/NDR combo portfolio (100G-PAM4) — full MPN map,https://docs.nvidia.com/linkx-400gbe-ndr-combo-main-portfolio-100g-pam4.pdf,pdf,direct,yes,NV-LINKX-400G-COMBO.txt,"DEFINITIVE MPN map: MCP4Y10-N (800G DAC) MCP7Y00/Y10-N (2x400G splitters) MMA4Z00/MMA1Z00-NS400 — confirms NO MCP4Y40 (removed)"
MG-DFM-BENET,BE Networks,software,BE Networks Dell SONiC page — Verity/Satori/SensAI (= DFM Automation/Observability/AIOps),https://be-net.com/dell/,html,direct,yes,MG-DFM-BENET.txt,"Verity 6.6 IBN: ZTP/NOS upgrades/config rendering/Time Traveler/Terraform-Ansible-NetBox-OpenAPI/RoCEv2+PoE; Satori: telemetry/dashboards/ML thresholds/alarms; SensAI: agentic Q&A/task queueing/guided workflows; proof: EXEO production 2026 + IREN AI factory. NOT SmartFabric Manager (different product)"
UEC-RESEARCH,Ultra Ethernet Consortium,standard,UEC 1.0 transport facts (packet spray / Tomahawk / NIC),https://ultraethernet.org/,txt,research,yes,UEC-RESEARCH.txt,"UEC 1.0 June 2025: packet spraying multipath vs RoCEv2 single-path; runs on same Broadcom Tomahawk 4/5 = Dell Z-series; UEC-capable NIC needed"
NET-BESTPRACTICE,Various,research,General networking best-practice synthesis (topology/optics/cabling/standards),—,txt,research,yes,NET-BESTPRACTICE-RESEARCH.txt,"Public authoritative synthesis 2026-07: reach zones DAC 2m/AEC 3-7m/AOC 100m; MPO-16 for SR8; UPC/APC never mix; structured cabling channel = trunk+cassette+panel+patch; fat-tree vs leaf-spine"
ST-PSTORE-HA,Dell,storage,"PowerStore: Clustering and High Availability (H18157.11, April 2026)",https://infohub.delltechnologies.com/en-us/t/dell-powerstore-clustering-and-high-availability/,pdf,direct,yes,corpus/raw/ST-PSTORE-HA.pdf,"R12/systemBond source of record: multi-appliance ICM+ICD ride an LACP bond to the ToR network; stacked/VLT switches must be configured; Fig 43 highly available block config. FSN (PowerStoreOS 3.5+) is FILE-interface only. Verified 2026-07-16"
CO-MX-VCF,Dell,compute,"PowerEdge MX Deployment with VMware Cloud Foundation DG (H19120, March 2022)",https://infohub.delltechnologies.com/en-us/l/dell-poweredge-mx-deployment-with-vmware-cloud-foundation-2/,pdf,direct,yes,corpus/raw/CO-MX-VCF.pdf,"G-006 partial evidence: MX9116n FSE port layout — 2×QSFP28 (dedicated Ethernet uplink) + 2×QSFP28 unified (Ethernet uplink OR 8×32G FC) + 12×QSFP28-DD (FEM expansion + breakout uplinks/VLTi). Ethernet-only mode: up to 4 uplinks/FSE = 8/chassis (2 FSEs). NOT the MX9116n spec sheet — that remains absent from corpus. VCF deployment guide only; March 2022."
